Season,Age Group,A (H1),A (Unable to Subtype),A (H3),A (H1N1)pdm09,A (Subtyping not Performed),B (Victoria Lineage),B (Yamagata Lineage),B (Lineage Unspecified),H3N2v
2017-18,0-4 yr,0,0,1682,432,11,75,233,70,0
2017-18,5-24 yr,0,0,4637,822,55,223,1236,523,1
2017-18,25-64 yr,0,0,6893,1318,131,84,1402,434,1
2017-18,65+ yr,0,0,8834,455,96,29,1207,285,0
2016-17,0-4 yr,0,0,2100,140,16,336,347,143,29
2016-17,5-24 yr,0,0,7916,196,58,1169,1543,659,24
2016-17,25-64 yr,0,0,8127,376,75,541,1957,552,2
2016-17,65+ yr,0,0,9715,160,82,191,1871,281,3
2015-16,0-4 yr,0,0,309,1876,34,207,214,205,6
2015-16,5-24 yr,0,0,1513,3419,72,765,943,948,11
2015-16,25-64 yr,0,0,1080,6918,176,398,1341,728,0
2015-16,65+ yr,0,0,852,1906,80,153,797,285,1
2014-15,0-4 yr,0,0,3113,25,33,0,0,536,0
2014-15,5-24 yr,0,0,9108,37,81,0,0,1846,2
2014-15,25-64 yr,0,0,9154,89,108,0,0,2004,0
2014-15,65+ yr,0,0,12852,12,119,0,0,1199,0
2013-14,0-4 yr,0,0,322,2592,23,0,0,316,2
2013-14,5-24 yr,0,0,959,5268,78,0,0,1062,1
2013-14,25-64 yr,0,0,1196,11852,164,0,0,1426,0
2013-14,65+ yr,0,0,1115,2468,58,0,0,672,0
2012-13,0-4 yr,0,0,3364,261,21,0,0,1380,5
2012-13,5-24 yr,0,0,7498,498,47,0,0,4107,14
2012-13,25-64 yr,0,0,8747,876,106,0,0,2363,0
2012-13,65+ yr,0,0,8510,95,228,0,0,1015,1
2011-12,0-4 yr,0,0,1779,506,59,0,0,328,73
2011-12,5-24 yr,0,0,3471,1191,88,0,0,1128,177
2011-12,25-64 yr,0,0,3323,1324,115,0,0,610,9
2011-12,65+ yr,0,0,2451,129,50,0,0,185,1
2010-11,0-4 yr,2,1,2509,1272,77,0,0,1132,0
2010-11,5-24 yr,0,0,3770,4064,104,0,0,3858,0
2010-11,25-64 yr,1,0,4592,4089,145,0,0,1442,0
2010-11,65+ yr,0,0,3685,382,89,0,0,427,0
2009-10,0-4 yr,7,18,38,7619,353,0,0,35,0
2009-10,5-24 yr,14,96,58,25140,769,0,0,109,0
2009-10,25-64 yr,16,152,95,17590,688,0,0,49,0
2009-10,65+ yr,4,19,47,2293,105,0,0,11,0
2008-09,0-4 yr,1229,100,669,5393,412,0,0,671,0
2008-09,5-24 yr,3771,241,1528,22475,1405,0,0,3447,0
2008-09,25-64 yr,2443,191,1439,10670,895,0,0,753,0
2008-09,65+ yr,140,8,432,646,130,0,0,119,0
2007-08,0-4 yr,423,0,1120,0,319,0,0,601,0
2007-08,5-24 yr,1015,0,2667,0,503,0,0,998,0
2007-08,25-64 yr,648,0,2131,0,499,0,0,1730,0
2007-08,65+ yr,45,0,656,0,191,0,0,581,0
2006-07,0-4 yr,891,0,398,0,129,0,0,372,0
2006-07,5-24 yr,2044,0,965,0,425,0,0,1249,0
2006-07,25-64 yr,824,0,735,0,240,0,0,376,0
2006-07,65+ yr,55,0,242,0,45,0,0,66,0
2005-06,0-4 yr,156,0,727,0,153,0,0,194,0
2005-06,5-24 yr,295,0,1838,0,406,0,0,875,0
2005-06,25-64 yr,82,0,1536,0,390,0,0,177,0
2005-06,65+ yr,11,0,760,0,232,0,0,37,0
2004-05,0-4 yr,2,0,607,0,158,0,0,451,0
2004-05,5-24 yr,9,0,1864,0,495,0,0,1023,0
2004-05,25-64 yr,4,0,1849,0,497,0,0,960,0
2004-05,65+ yr,2,0,977,0,420,0,0,167,0
2003-04,0-4 yr,0,0,1585,0,601,0,0,16,0
2003-04,5-24 yr,0,0,2877,0,798,0,0,22,0
2003-04,25-64 yr,2,0,1441,0,586,0,0,20,0
2003-04,65+ yr,0,0,549,0,304,0,0,19,0
2002-03,0-4 yr,426,0,210,0,53,0,0,251,0
2002-03,5-24 yr,1165,0,250,0,142,0,0,1863,0
2002-03,25-64 yr,391,0,241,0,96,0,0,190,0
2002-03,65+ yr,31,0,119,0,28,0,0,11,0
2001-02,0-4 yr,6,0,983,0,271,0,0,98,0
2001-02,5-24 yr,27,0,1278,0,394,0,0,610,0
2001-02,25-64 yr,13,0,1093,0,385,0,0,97,0
2001-02,65+ yr,1,0,423,0,183,0,0,12,0
2000-01,0-4 yr,249,0,8,0,65,0,0,237,0
2000-01,5-24 yr,1084,0,14,0,179,0,0,994,0
2000-01,25-64 yr,487,0,21,0,94,0,0,488,0
2000-01,65+ yr,15,0,4,0,13,0,0,87,0
1999-00,0-4 yr,26,0,452,0,143,0,0,12,0
1999-00,5-24 yr,55,0,783,0,218,0,0,12,0
1999-00,25-64 yr,20,0,1237,0,467,0,0,9,0
1999-00,65+ yr,0,0,600,0,395,0,0,3,0
1998-99,0-4 yr,2,0,277,0,139,0,0,166,0
1998-99,5-24 yr,12,0,707,0,207,0,0,721,0
1998-99,25-64 yr,1,0,652,0,203,0,0,334,0
1998-99,65+ yr,2,0,428,0,462,0,0,86,0
1997-98,0-4 yr,1,0,505,0,132,0,0,7,0
1997-98,5-24 yr,3,0,819,0,430,0,0,12,0
1997-98,25-64 yr,1,0,693,0,322,0,0,10,0
1997-98,65+ yr,1,0,558,0,529,0,0,0,0
